channelId,videoId,textDisplay,textOriginal,authorDisplayName,authorProfileImageUrl,authorChannelUrl,authorChannelId,canRate,viewerRating,likeCount,publishedAt,updatedAt,parentId
UCtzmp_fZECtymEqRBIupM-w,I8hSL-t4G9s,aku kemarin kesana ga ada kakaknya,aku kemarin kesana ga ada kakaknya,@alifiazuliana653,https://yt3.ggpht.com/ytc/AIdro_k489dbUjVHiavMXCVBLGMHjuZ1MbGhFgMATRJyE25ZAk1KhQl3s6Hf7REnBDXFhbKjBA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@alifiazuliana653,{'value': 'UCmOtNnMuQrd_4Bxb7qk9qgw'},True,none,0,2023-06-04T18:57:06Z,2023-06-04T18:57:06Z,
UCtzmp_fZECtymEqRBIupM-w,I8hSL-t4G9s,die yg joget gw yg malu liat nya,die yg joget gw yg malu liat nya,@MONTOD397,https://yt3.ggpht.com/ytc/AIdro_mp5BHtWA80vQXe5GQGGJC5HSAgwawTY449G435D_WqweF5fNSBjGscoCuzbxwx91FdyA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@MONTOD397,{'value': 'UCcK0wVE3rroEJ7u_TxqwCyw'},True,none,0,2023-06-04T18:56:10Z,2023-06-04T18:56:10Z,
UCtzmp_fZECtymEqRBIupM-w,I8hSL-t4G9s,Bantu dong,Bantu dong,@Rejaya_rere,https://yt3.ggpht.com/UulGOmERrOoMU1hGXOrdhw99CowfFaV1LVNW4RcF8Wl14E9CiGZW1BvXHyoUBKpV9G8aGCdf=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@Rejaya_rere,{'value': 'UC74kLp7eAm6D7EZULIQt0vQ'},True,none,0,2023-06-04T15:54:32Z,2023-06-04T15:54:32Z,
UCtzmp_fZECtymEqRBIupM-w,I8hSL-t4G9s,Mantap dek sukses y supports,Mantap dek sukses y supports,@kongtamanchannel7777,https://yt3.ggpht.com/1KIZ_1I50LKnkMfCPBVBQ-J3aDlR_f-AQAMutRCWuZ_D6MXyqarsaUIouhKDQQLLiR5v6hXXrA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@kongtamanchannel7777,{'value': 'UCWViB3cRFHtp-wOKA7mlrOg'},True,none,0,2023-06-04T07:14:05Z,2023-06-04T07:14:05Z,
UCtzmp_fZECtymEqRBIupM-w,I8hSL-t4G9s,"asik bgt jogetannya, aku ulang2 terus ya biar capek😅😅😅","asik bgt jogetannya, aku ulang2 terus ya biar capek😅😅😅",@diaryaradimahargita3902,https://yt3.ggpht.com/8_5mkA73M41_YLiE47_I9id9Onu_L0d1Oqv9s-OL0dhnTNLzg72ew5vfAYGTyAovo9gCToFa=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@diaryaradimahargita3902,{'value': 'UCIJbw62al1Oxku3enOjjXOA'},True,none,0,2023-06-04T07:11:33Z,2023-06-04T07:11:33Z,
UCtzmp_fZECtymEqRBIupM-w,I8hSL-t4G9s,Pingn punya body kek mbak nyaaa😢,Pingn punya body kek mbak nyaaa😢,@DwiViani,https://yt3.ggpht.com/yx9T8CvsW-qAabZp0qh99zXYmilnRM8RpUNqxgIn4XkeJ5KOCol0DxyDd7KVYqb1gjQOYP6M=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@DwiViani,{'value': 'UCQFpctNMQn-7KzK9HVhXjNw'},True,none,0,2023-06-04T06:50:09Z,2023-06-04T06:50:09Z,
UCtzmp_fZECtymEqRBIupM-w,I8hSL-t4G9s,Kompak banget kak keren banget kak💖💖🥰🥰😘😘❤️❤️,Kompak banget kak keren banget kak💖💖🥰🥰😘😘❤️❤️,@RetnowatiWati-ej8qe,https://yt3.ggpht.com/ytc/AIdro_ktgf3psRkAgKqgtBrHqhFCpTwn8CtlBGMPzkRqQ28gVAm_OArHXAgXv_ztPUnBWg1sIA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@RetnowatiWati-ej8qe,{'value': 'UCzPEwC3bSO3QBnUinm1TDCw'},True,none,0,2023-06-04T02:56:15Z,2023-06-04T02:56:15Z,
UCtzmp_fZECtymEqRBIupM-w,I8hSL-t4G9s,Lemes bgt si MB badan  nya GX kaku   asik joged nya,Lemes bgt si MB badan  nya GX kaku   asik joged nya,@wiwitaryanti2293,https://yt3.ggpht.com/ytc/AIdro_nG1f-a0r-cRDnTDEh8zs4ZZzqc-KJO2uKP3Wr5TgwXjMxPtsEzoQB2OelCplftObJhOw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@wiwitaryanti2293,{'value': 'UC-Tjdq4MILcwUPe-iGP71nw'},True,none,0,2023-06-04T00:13:13Z,2023-06-04T00:13:13Z,
UCtzmp_fZECtymEqRBIupM-w,I8hSL-t4G9s,biarkan mereka bahagia dgn cara nya sendiri,biarkan mereka bahagia dgn cara nya sendiri,@agusmuharram747,https://yt3.ggpht.com/ytc/AIdro_mDrzxd4L0kfxnzWjcV84QXeh6yM5awxAa_8NyMucY=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@agusmuharram747,{'value': 'UCVUN7CltPbRzOPwuy3mSwhg'},True,none,0,2023-06-03T14:59:18Z,2023-06-03T14:59:18Z,
UCtzmp_fZECtymEqRBIupM-w,I8hSL-t4G9s,"Kompak, cantik dan manis banget pas dia senyum .😍❤️👏🏻","Kompak, cantik dan manis banget pas dia senyum .😍❤️👏🏻",@oktarian93,https://yt3.ggpht.com/ytc/AIdro_nt2oyYde-6nosceh6Bz_Di8W-sNOH6A4R-u83qg__sFIaHYw-rP5YpNX8o79X1We3LHg=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@oktarian93,{'value': 'UCk4QlmK6VdfL8IkXxRzUMBw'},True,none,0,2023-06-03T14:59:08Z,2023-06-03T14:59:08Z,
UCtzmp_fZECtymEqRBIupM-w,I8hSL-t4G9s,Kompak nihh,Kompak nihh,@simsonhutapea1257,https://yt3.ggpht.com/Y8eAGhEH9lvGDP3N8xSURgpxl7XhZ91h20KFnO7Ti1D7DtF4ofnJ2sGM8MsUDl-mMXF4uWfQ31E=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@simsonhutapea1257,{'value': 'UCenpFs0G0-mEO-9i61YhX1w'},True,none,0,2023-06-03T14:40:59Z,2023-06-03T14:40:59Z,
UCtzmp_fZECtymEqRBIupM-w,I8hSL-t4G9s,Kompak josssss😂❤,Kompak josssss😂❤,@Kangremes,https://yt3.ggpht.com/oYMjH9hkvsnczbqSGuoXLPsxkarRT87OrFMHI3MGdcmHit2m5b3HmQhJaDEYD0sJR8QnOM4C=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@Kangremes,{'value': 'UC5U5uc9f2Qs_bN217NPj9cA'},True,none,0,2023-06-03T14:10:48Z,2023-06-03T14:10:48Z,
